Country Name;Country Code;2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020]
United States;USA;1,05818E+13;1,09364E+13;1,14582E+13;1,22137E+13;1,30366E+13;1,38146E+13;1,44519E+13;1,47128E+13;1,44489E+13;1,49921E+13;1,55426E+13;1,6197E+13;1,67848E+13;1,75272E+13;1,82383E+13;1,87451E+13;1,9543E+13;2,06119E+13;2,14332E+13;2,0953E+13
China;CHN;1,3394E+12;1,47055E+12;1,66029E+12;1,95535E+12;2,28597E+12;2,75213E+12;3,55034E+12;4,59431E+12;5,1017E+12;6,08716E+12;7,5515E+12;8,53223E+12;9,57041E+12;1,04757E+13;1,10616E+13;1,12333E+13;1,23104E+13;1,38948E+13;1,42799E+13;1,47227E+13
Japan;JPN;4,37471E+12;4,18285E+12;4,51956E+12;4,89312E+12;4,83147E+12;4,60166E+12;4,57975E+12;5,10668E+12;5,28949E+12;5,75907E+12;6,23315E+12;6,27236E+12;5,21233E+12;4,89699E+12;4,44493E+12;5,00368E+12;4,93084E+12;5,03689E+12;5,14878E+12;5,05776E+12
Germany;DEU;1,94411E+12;2,06862E+12;2,49613E+12;2,80919E+12;2,8458E+12;2,9922E+12;3,42123E+12;3,73003E+12;3,39779E+12;3,39635E+12;3,74441E+12;3,52734E+12;3,73274E+12;3,88392E+12;3,35624E+12;3,4675E+12;3,68173E+12;3,97535E+12;3,88833E+12;3,84641E+12
United Kingdom;GBR;1,64391E+12;1,78408E+12;2,05709E+12;2,42181E+12;2,54483E+12;2,71706E+12;3,10618E+12;2,93888E+12;2,4258E+12;2,49111E+12;2,67489E+12;2,71916E+12;2,80329E+12;3,08717E+12;2,95657E+12;2,72285E+12;2,69902E+12;2,90079E+12;2,87867E+12;2,7598E+12
India;IND;4,85441E+11;5,14938E+11;6,07699E+11;7,09149E+11;8,20382E+11;9,4026E+11;1,21674E+12;1,1989E+12;1,34189E+12;1,67562E+12;1,82305E+12;1,82764E+12;1,85672E+12;2,03913E+12;2,10359E+12;2,2948E+12;2,65147E+12;2,70111E+12;2,8705E+12;2,66025E+12
France;FRA;1,37647E+12;1,49429E+12;1,84048E+12;2,11574E+12;2,19613E+12;2,31859E+12;2,65721E+12;2,91838E+12;2,69022E+12;2,64261E+12;2,86141E+12;2,68383E+12;2,81108E+12;2,85217E+12;2,43821E+12;2,47129E+12;2,58874E+12;2,78959E+12;2,72887E+12;2,63032E+12
Italy;ITA;1,16701E+12;1,27071E+12;1,57415E+12;1,80323E+12;1,85752E+12;1,94792E+12;2,21029E+12;2,39886E+12;2,19124E+12;2,13402E+12;2,29199E+12;2,08708E+12;2,14132E+12;2,15913E+12;1,8359E+12;1,8758E+12;1,95695E+12;2,09091E+12;2,00938E+12;1,88871E+12
Canada;CAN;7,38982E+11;7,60649E+11;8,95541E+11;1,02669E+12;1,17311E+12;1,31926E+12;1,46882E+12;1,55299E+12;1,37463E+12;1,61734E+12;1,79333E+12;1,82837E+12;1,8466E+12;1,80575E+12;1,55651E+12;1,52799E+12;1,64927E+12;1,72533E+12;1,74202E+12;1,64542E+12
Korea Rep.;KOR;5,47658E+11;6,27246E+11;7,02717E+11;7,93175E+11;9,34901E+11;1,05322E+12;1,17261E+12;1,04734E+12;9,43942E+11;1,14407E+12;1,25322E+12;1,27843E+12;1,3708E+12;1,48432E+12;1,46577E+12;1,50011E+12;1,6239E+12;1,72485E+12;1,65142E+12;1,6379E+12
Russian Federation;RUS;3,06602E+11;3,4547E+11;4,30348E+11;5,91017E+11;7,64017E+11;9,89931E+11;1,29971E+12;1,66085E+12;1,22264E+12;1,52492E+12;2,04593E+12;2,2083E+12;2,29247E+12;2,05924E+12;1,36348E+12;1,27679E+12;1,5742E+12;1,65733E+12;1,68745E+12;1,4835E+12
Brazil;BRA;5,59984E+11;5,09795E+11;5,58234E+11;6,69289E+11;8,91634E+11;1,10763E+12;1,39711E+12;1,69586E+12;1,667E+12;2,20884E+12;2,61616E+12;2,46523E+12;2,47282E+12;2,45604E+12;1,80221E+12;1,79569E+12;2,06351E+12;1,91693E+12;1,87782E+12;1,44473E+12
Australia;AUS;3,79084E+11;3,95343E+11;4,67391E+11;6,14166E+11;6,95075E+11;7,47556E+11;8,53955E+11;1,05513E+12;9,28043E+11;1,14759E+12;1,39791E+12;1,54651E+12;1,57634E+12;1,4675E+12;1,35053E+12;1,20669E+12;1,32688E+12;1,42853E+12;1,39195E+12;1,32784E+12
Spain;ESP;6,27287E+11;7,05394E+11;9,05492E+11;1,06709E+12;1,15329E+12;1,25934E+12;1,47213E+12;1,62522E+12;1,48558E+12;1,42072E+12;1,47877E+12;1,32482E+12;1,35476E+12;1,3694E+12;1,19512E+12;1,23208E+12;1,3093E+12;1,4203E+12;1,39305E+12;1,28148E+12
Mexico;MEX;7,56706E+11;7,72106E+11;7,29336E+11;7,82241E+11;8,77476E+11;9,75387E+11;1,0527E+12;1,10999E+12;9,00045E+11;1,0578E+12;1,18049E+12;1,20109E+12;1,27444E+12;1,31535E+12;1,17187E+12;1,07849E+12;1,15891E+12;1,22241E+12;1,26943E+12;1,07392E+12
Indonesia;IDN;1,60447E+11;1,95661E+11;2,34772E+11;2,56837E+11;2,85869E+11;3,64571E+11;4,32217E+11;5,10229E+11;5,3958E+11;7,55094E+11;8,92969E+11;9,1787E+11;9,12524E+11;8,90815E+11;8,60854E+11;9,31877E+11;1,01562E+12;1,04227E+12;1,11909E+12;1,05842E+12
Netherlands;NLD;4,31213E+11;4,71614E+11;5,78792E+11;6,57172E+11;6,85093E+11;7,33341E+11;8,47482E+11;9,47998E+11;8,68077E+11;8,46555E+11;9,04086E+11;8,38971E+11;8,76924E+11;8,90981E+11;7,65265E+11;7,83528E+11;8,3181E+11;9,13597E+11;9,10194E+11;9,13865E+11
Switzerland;CHE;2,87227E+11;3,10176E+11;3,63063E+11;4,05531E+11;4,20545E+11;4,43802E+11;4,93537E+11;5,70304E+11;5,582E+11;6,03434E+11;7,22038E+11;6,9211E+11;7,12748E+11;7,34397E+11;7,0215E+11;6,95601E+11;7,04479E+11;7,35539E+11;7,31767E+11;7,52248E+11
Turkey;TUR;2,01751E+11;2,40253E+11;3,14592E+11;4,08876E+11;5,06308E+11;5,57058E+11;6,81337E+11;7,70462E+11;6,49273E+11;7,76993E+11;8,38763E+11;8,80556E+11;9,57783E+11;9,38953E+11;8,64317E+11;8,69693E+11;8,58996E+11;7,78472E+11;7,61004E+11;7,19955E+11
Saudi Arabia;SAU;1,84137E+11;1,89606E+11;2,15808E+11;2,58742E+11;3,2846E+11;3,769E+11;4,15965E+11;5,19797E+11;4,29098E+11;5,28207E+11;6,71239E+11;7,35975E+11;7,46647E+11;7,5635E+11;6,5427E+11;6,44936E+11;6,88586E+11;7,86522E+11;7,92967E+11;7,00118E+11
Poland;POL;1,90905E+11;1,99072E+11;2,17827E+11;2,5511E+11;3,06144E+11;3,44622E+11;4,29029E+11;5,33609E+11;4,39738E+11;4,79834E+11;5,28301E+11;4,98524E+11;5,21016E+11;5,42477E+11;4,77812E+11;4,7263E+11;5,26509E+11;5,87412E+11;5,97281E+11;5,96624E+11
Sweden;SWE;2,42396E+11;2,66849E+11;3,34337E+11;3,85118E+11;3,92218E+11;4,23093E+11;4,91253E+11;5,17706E+11;4,36537E+11;4,95813E+11;5,74094E+11;5,52484E+11;5,86842E+11;5,81964E+11;5,05104E+11;5,15655E+11;5,41019E+11;5,55455E+11;5,3388E+11;5,4122E+11
Belgium;BEL;2,36541E+11;2,57158E+11;3,17382E+11;3,68537E+11;3,85571E+11;4,07918E+11;4,70324E+11;5,15224E+11;4,81346E+11;4,80952E+11;5,22646E+11;4,96181E+11;5,21643E+11;5,34678E+11;4,6215E+11;4,7574E+11;5,01523E+11;5,43008E+11;5,35289E+11;5,21861E+11
Thailand;THA;1,20296E+11;1,34301E+11;1,52281E+11;1,72896E+11;1,89319E+11;2,21758E+11;2,62942E+11;2,91383E+11;2,8171E+11;3,41105E+11;3,70819E+11;3,97558E+11;4,20333E+11;4,07339E+11;4,01296E+11;4,13366E+11;4,56357E+11;5,06611E+11;5,44264E+11;5,01644E+11
